"date","activity","value","roll","source"
2020-03-08,"Journeys",94,99,"Citymapper"
2020-03-09,"Journeys",97,98.5714285714286,"Citymapper"
2020-03-10,"Journeys",97,97.8571428571429,"Citymapper"
2020-03-11,"Journeys",91,96.5714285714286,"Citymapper"
2020-03-12,"Journeys",84,94.1428571428571,"Citymapper"
2020-03-13,"Journeys",75,90.7142857142857,"Citymapper"
2020-03-14,"Journeys",75,87.5714285714286,"Citymapper"
2020-03-15,"Journeys",67,83.7142857142857,"Citymapper"
2020-03-16,"Journeys",60,78.4285714285714,"Citymapper"
2020-03-17,"Journeys",44,70.8571428571429,"Citymapper"
2020-03-18,"Journeys",36,63,"Citymapper"
2020-03-19,"Journeys",39,56.5714285714286,"Citymapper"
2020-03-20,"Journeys",31,50.2857142857143,"Citymapper"
2020-03-21,"Journeys",23,42.8571428571429,"Citymapper"
2020-03-22,"Journeys",23,36.5714285714286,"Citymapper"
2020-03-23,"Journeys",25,31.5714285714286,"Citymapper"
2020-03-24,"Journeys",15,27.4285714285714,"Citymapper"
2020-03-25,"Journeys",12,24,"Citymapper"
2020-03-26,"Journeys",10,19.8571428571429,"Citymapper"
2020-03-27,"Journeys",9,16.7142857142857,"Citymapper"
2020-03-28,"Journeys",8,14.5714285714286,"Citymapper"
2020-03-29,"Journeys",8,12.4285714285714,"Citymapper"
2020-03-30,"Journeys",10,10.2857142857143,"Citymapper"
2020-03-31,"Journeys",10,9.57142857142857,"Citymapper"
2020-04-01,"Journeys",9,9.14285714285714,"Citymapper"
2020-04-02,"Journeys",9,9,"Citymapper"
2020-04-03,"Journeys",8,8.85714285714286,"Citymapper"
2020-04-04,"Journeys",7,8.71428571428571,"Citymapper"
2020-04-05,"Journeys",9,8.85714285714286,"Citymapper"
2020-04-06,"Journeys",9,8.71428571428571,"Citymapper"
2020-04-07,"Journeys",9,8.57142857142857,"Citymapper"
2020-04-08,"Journeys",8,8.42857142857143,"Citymapper"
2020-04-09,"Journeys",8,8.28571428571429,"Citymapper"
2020-04-10,"Journeys",8,8.28571428571429,"Citymapper"
2020-04-11,"Journeys",7,8.28571428571429,"Citymapper"
2020-04-12,"Journeys",7,8,"Citymapper"
2020-04-13,"Journeys",8,7.85714285714286,"Citymapper"
2020-04-14,"Journeys",9,7.85714285714286,"Citymapper"
2020-04-15,"Journeys",9,8,"Citymapper"
2020-04-16,"Journeys",8,8,"Citymapper"
2020-04-17,"Journeys",8,8,"Citymapper"
2020-04-18,"Journeys",7,8,"Citymapper"
2020-04-19,"Journeys",9,8.28571428571429,"Citymapper"
2020-04-20,"Journeys",10,8.57142857142857,"Citymapper"
2020-04-21,"Journeys",9,8.57142857142857,"Citymapper"
2020-04-22,"Journeys",9,8.57142857142857,"Citymapper"
2020-04-23,"Journeys",9,8.71428571428571,"Citymapper"
2020-04-24,"Journeys",9,8.85714285714286,"Citymapper"
2020-04-25,"Journeys",8,9,"Citymapper"
2020-04-26,"Journeys",10,9.14285714285714,"Citymapper"
2020-04-27,"Journeys",10,9.14285714285714,"Citymapper"
2020-04-28,"Journeys",9,9.14285714285714,"Citymapper"
2020-04-29,"Journeys",9,9.14285714285714,"Citymapper"
2020-04-30,"Journeys",9,9.14285714285714,"Citymapper"
2020-05-01,"Journeys",9,9.14285714285714,"Citymapper"
2020-05-02,"Journeys",9,9.28571428571429,"Citymapper"
2020-05-03,"Journeys",10,9.28571428571429,"Citymapper"
2020-05-04,"Journeys",11,9.42857142857143,"Citymapper"
2020-05-05,"Journeys",11,9.71428571428571,"Citymapper"
2020-05-06,"Journeys",11,10,"Citymapper"
2020-05-07,"Journeys",11,10.2857142857143,"Citymapper"
2020-05-08,"Journeys",11,10.5714285714286,"Citymapper"
2020-05-09,"Journeys",11,10.8571428571429,"Citymapper"
2020-05-10,"Journeys",10,10.8571428571429,"Citymapper"
2020-05-11,"Journeys",13,11.1428571428571,"Citymapper"
2020-05-12,"Journeys",12,11.2857142857143,"Citymapper"
2020-05-13,"Journeys",12,11.4285714285714,"Citymapper"
2020-05-14,"Journeys",12,11.5714285714286,"Citymapper"
2020-05-15,"Journeys",13,11.8571428571429,"Citymapper"
2020-05-16,"Journeys",13,12.1428571428571,"Citymapper"
2020-05-17,"Journeys",15,12.8571428571429,"Citymapper"
2020-05-18,"Journeys",16,13.2857142857143,"Citymapper"
2020-05-19,"Journeys",16,13.8571428571429,"Citymapper"
2020-05-20,"Journeys",16,14.4285714285714,"Citymapper"
2020-05-21,"Journeys",15,14.8571428571429,"Citymapper"
2020-05-22,"Journeys",15,15.1428571428571,"Citymapper"
2020-05-23,"Journeys",15,15.4285714285714,"Citymapper"
2020-05-24,"Journeys",18,15.8571428571429,"Citymapper"
2020-05-25,"Journeys",20,16.4285714285714,"Citymapper"
2020-05-26,"Journeys",17,16.5714285714286,"Citymapper"
2020-05-27,"Journeys",17,16.7142857142857,"Citymapper"
2020-05-28,"Journeys",17,17,"Citymapper"
2020-05-29,"Journeys",18,17.4285714285714,"Citymapper"
2020-05-30,"Journeys",19,18,"Citymapper"
2020-05-31,"Journeys",21,18.4285714285714,"Citymapper"
2020-06-01,"Journeys",20,18.4285714285714,"Citymapper"
2020-06-02,"Journeys",20,18.8571428571429,"Citymapper"
2020-06-03,"Journeys",18,19,"Citymapper"
2020-06-04,"Journeys",17,19,"Citymapper"
2020-06-05,"Journeys",17,18.8571428571429,"Citymapper"
2020-06-06,"Journeys",18,18.7142857142857,"Citymapper"
2020-06-07,"Journeys",20,18.5714285714286,"Citymapper"
2020-06-08,"Journeys",19,18.4285714285714,"Citymapper"
2020-06-09,"Journeys",19,18.2857142857143,"Citymapper"
2020-06-10,"Journeys",17,18.1428571428571,"Citymapper"
2020-06-11,"Journeys",17,18.1428571428571,"Citymapper"
2020-06-12,"Journeys",18,18.2857142857143,"Citymapper"
2020-06-13,"Journeys",24,19.1428571428571,"Citymapper"
2020-06-14,"Journeys",24,19.7142857142857,"Citymapper"
2020-06-15,"Journeys",23,20.2857142857143,"Citymapper"
2020-06-16,"Journeys",21,20.5714285714286,"Citymapper"
2020-06-17,"Journeys",20,21,"Citymapper"
2020-06-18,"Journeys",20,21.4285714285714,"Citymapper"
2020-06-19,"Journeys",22,22,"Citymapper"
2020-06-20,"Journeys",27,22.4285714285714,"Citymapper"
2020-06-21,"Journeys",24,22.4285714285714,"Citymapper"
2020-06-22,"Journeys",26,22.8571428571429,"Citymapper"
2020-06-23,"Journeys",26,23.5714285714286,"Citymapper"
2020-06-24,"Journeys",26,24.4285714285714,"Citymapper"
2020-06-25,"Journeys",27,25.4285714285714,"Citymapper"
2020-06-26,"Journeys",27,26.1428571428571,"Citymapper"
2020-06-27,"Journeys",25,25.8571428571429,"Citymapper"
2020-06-28,"Journeys",28,26.4285714285714,"Citymapper"
2020-06-29,"Journeys",26,26.4285714285714,"Citymapper"
2020-06-30,"Journeys",25,26.2857142857143,"Citymapper"
2020-07-01,"Journeys",25,26.1428571428571,"Citymapper"
2020-07-02,"Journeys",25,25.8571428571429,"Citymapper"
2020-07-03,"Journeys",28,26,"Citymapper"
2020-07-04,"Journeys",32,27,"Citymapper"
2020-07-05,"Journeys",34,27.8571428571429,"Citymapper"
2020-07-06,"Journeys",31,28.5714285714286,"Citymapper"
2020-07-07,"Journeys",29,29.1428571428571,"Citymapper"
2020-07-08,"Journeys",29,29.7142857142857,"Citymapper"
2020-07-09,"Journeys",29,30.2857142857143,"Citymapper"
2020-07-10,"Journeys",33,31,"Citymapper"
2020-07-11,"Journeys",37,31.7142857142857,"Citymapper"
2020-07-12,"Journeys",36,32,"Citymapper"
2020-07-13,"Journeys",33,32.2857142857143,"Citymapper"
2020-07-14,"Journeys",32,32.7142857142857,"Citymapper"
2020-07-15,"Journeys",32,33.1428571428571,"Citymapper"
2020-07-16,"Journeys",33,33.7142857142857,"Citymapper"
2020-07-17,"Journeys",37,34.2857142857143,"Citymapper"
2020-07-18,"Journeys",40,34.7142857142857,"Citymapper"
2020-07-19,"Journeys",36,34.7142857142857,"Citymapper"
2020-07-20,"Journeys",35,35,"Citymapper"
2020-07-21,"Journeys",34,35.2857142857143,"Citymapper"
2020-07-22,"Journeys",35,35.7142857142857,"Citymapper"
2020-07-23,"Journeys",35,36,"Citymapper"
2020-07-24,"Journeys",37,36,"Citymapper"
2020-07-25,"Journeys",38,35.7142857142857,"Citymapper"
2020-07-26,"Journeys",40,36.2857142857143,"Citymapper"
2020-07-27,"Journeys",35,36.2857142857143,"Citymapper"
2020-07-28,"Journeys",36,36.5714285714286,"Citymapper"
2020-07-29,"Journeys",37,36.8571428571429,"Citymapper"
2020-07-30,"Journeys",39,37.4285714285714,"Citymapper"
2020-07-31,"Journeys",41,38,"Citymapper"
2020-08-01,"Journeys",43,38.7142857142857,"Citymapper"
2020-08-02,"Journeys",43,39.1428571428571,"Citymapper"
2020-08-03,"Journeys",39,39.7142857142857,"Citymapper"
2020-08-04,"Journeys",39,40.1428571428571,"Citymapper"
2020-08-05,"Journeys",40,40.5714285714286,"Citymapper"
2020-08-06,"Journeys",39,40.5714285714286,"Citymapper"
2020-08-07,"Journeys",41,40.5714285714286,"Citymapper"
2020-08-08,"Journeys",43,40.5714285714286,"Citymapper"
2020-08-09,"Journeys",44,40.7142857142857,"Citymapper"
2020-08-10,"Journeys",42,41.1428571428571,"Citymapper"
2020-08-11,"Journeys",42,41.5714285714286,"Citymapper"
2020-08-12,"Journeys",41,41.7142857142857,"Citymapper"
2020-08-13,"Journeys",39,41.7142857142857,"Citymapper"
2020-08-14,"Journeys",40,41.5714285714286,"Citymapper"
2020-08-15,"Journeys",43,41.5714285714286,"Citymapper"
2020-08-16,"Journeys",43,41.4285714285714,"Citymapper"
2020-08-17,"Journeys",43,41.5714285714286,"Citymapper"
2020-08-18,"Journeys",44,41.8571428571429,"Citymapper"
2020-08-19,"Journeys",43,42.1428571428571,"Citymapper"
2020-08-20,"Journeys",43,42.7142857142857,"Citymapper"
2020-08-21,"Journeys",43,43.1428571428571,"Citymapper"
2020-08-22,"Journeys",47,43.7142857142857,"Citymapper"
2020-08-23,"Journeys",47,44.2857142857143,"Citymapper"
2020-08-24,"Journeys",46,44.7142857142857,"Citymapper"
2020-08-25,"Journeys",46,45,"Citymapper"
2020-08-26,"Journeys",49,45.8571428571429,"Citymapper"
2020-08-27,"Journeys",43,45.8571428571429,"Citymapper"
2020-08-28,"Journeys",45,46.1428571428571,"Citymapper"
2020-08-29,"Journeys",47,46.1428571428571,"Citymapper"
2020-08-30,"Journeys",52,46.8571428571429,"Citymapper"
2020-08-31,"Journeys",53,47.8571428571429,"Citymapper"
2020-09-01,"Journeys",47,48,"Citymapper"
